import time: self [us] | cumulative | imported package
import time:      5454 |      16781 |                         huggingface_hub.utils._cache_manager
import time:      1649 |       1649 |                         huggingface_hub.utils._chunk_utils
import time:      1167 |       1167 |                         huggingface_hub.utils._datetime
import time:      1326 |       1326 |                         huggingface_hub.utils._experimental
import time:      2470 |       2470 |                             yaml.error
import time:      1397 |       1397 |                             yaml.tokens
import time:      1069 |       1069 |                             yaml.events
import time:      1148 |       1148 |                             yaml.nodes
import time:      6435 |       6435 |                               yaml.reader
import time:      1745 |       1745 |                               yaml.scanner
import time:      1204 |       1204 |                               yaml.parser
import time:      1559 |       1559 |                               yaml.composer
import time:      2021 |       2021 |                               yaml.constructor
import time:      2744 |       2744 |                               yaml.resolver
import time:      1063 |      16768 |                             yaml.loader
import time:      1382 |       1382 |                               yaml.emitter
import time:      1187 |       1187 |                               yaml.serializer
import time:      1821 |       1821 |                               yaml.representer
import time:      1243 |       5631 |                             yaml.dumper
import time:     24329 |      24329 |                               yaml._yaml
import time:      1785 |      26114 |                             yaml.cyaml
import time:      2704 |      57298 |                           yaml
import time:      1471 |       1471 |                               secrets
import time:      1750 |       1750 |                               filelock._error
import time:      1471 |       1471 |                               filelock._util
import time:      6142 |      10833 |                             filelock._api
import time:      2353 |       2353 |                               filelock._windows
import time:      1893 |       4246 |                             filelock._descriptor
import time:      1513 |       1513 |                               filelock._identity
import time:      1527 |       1527 |                                   filelock._soft_protocol
import time:      2461 |       3988 |                                 filelock._soft
import time:      2035 |       6023 |                               filelock._marker
import time:      3967 |      11502 |                             filelock._lease
import time:      9375 |       9375 |                                   _sqlite3
import time:      1624 |      10998 |                                 sqlite3.dbapi2
import time:      2244 |      13242 |                               sqlite3
import time:      2769 |       2769 |                               filelock._async
import time:      4229 |       4229 |                               filelock._read_write
import time:      2126 |      22365 |                             filelock._async_read_write
import time:      4621 |       4621 |                                 filelock._soft_rw._sync
import time:      2453 |       7074 |                               filelock._soft_rw._async
import time:      2279 |       9353 |                             filelock._soft_rw
import time:      9486 |       9486 |                             filelock._strict
import time:      1686 |       1686 |                             filelock._unix
import time:      3209 |       3209 |                             filelock.asyncio
import time:      1510 |       1510 |                             filelock.version
import time:      2928 |      77115 |                           filelock
import time:      1209 |     135621 |                         huggingface_hub.utils._fixes
import time:      2101 |       2101 |                           huggingface_hub.utils._subprocess
import time:      2269 |       4370 |                         huggingface_hub.utils._git_credential
import time:      1926 |       1926 |                           huggingface_hub.utils._deprecation
import time:      1436 |       1436 |                             huggingface_hub.utils._typing
import time:      2900 |       4336 |                           huggingface_hub.utils._validators
import time:      1966 |       8227 |                         huggingface_hub.utils._headers
import time:      1599 |       1599 |                         huggingface_hub.utils._hf_folder
import time:      1932 |       1932 |                           shlex
import time:      1355 |       1355 |                           huggingface_hub.utils._lfs
import time:      2880 |       6167 |                         huggingface_hub.utils._http
import time:      1268 |       1268 |                         huggingface_hub.utils._pagination
import time:      1028 |       1028 |                         huggingface_hub.utils._paths
import time:      2809 |       2809 |                         huggingface_hub.utils._safetensors
import time:      1333 |       1333 |                         huggingface_hub.utils._telemetry
import time:      3644 |       3644 |                         huggingface_hub.utils._xet
import time:      2933 |     383873 |                       huggingface_hub.utils
import time:      4020 |     387893 |                     huggingface_hub._local_folder
import time:      1508 |       1508 |                       huggingface_hub.utils.insecure_hashlib
import time:      1321 |       2829 |                     huggingface_hub.utils.sha
import time:      3244 |     400146 |                   huggingface_hub.file_download
import time:      2506 |       2506 |                   huggingface_hub.lfs
import time:      3580 |     408485 |                 huggingface_hub._commit_api
import time:      2506 |       2506 |                 huggingface_hub._inference_endpoints
import time:      2564 |       2564 |                   huggingface_hub._space_api
import time:      6444 |       9007 |                 huggingface_hub._jobs_api
import time:      2623 |       2623 |                 huggingface_hub._upload_large_folder
import time:      4735 |       4735 |                 huggingface_hub.community
import time:      2451 |       2451 |                 huggingface_hub.repocard_data
import time:      1301 |       1301 |                 huggingface_hub.utils.endpoint_helpers
import time:      3014 |       3014 |                 packaging
import time:      3920 |       3920 |                 packaging.version
import time:     21432 |      21432 |                         regex._regex
import time:      6689 |      28120 |                       regex._regex_core
import time:       172 |        172 |                       regex.DEFAULT_VERSION
import time:      1582 |      29873 |                     regex._main
import time:      1987 |      31860 |                   regex
import time:      2123 |       2123 |                   transformers.utils.doc
import time:      1888 |       1888 |                       numpy.version
import time:      1151 |       1151 |                       numpy._expired_attrs_2_0
import time:      1528 |       1528 |                           numpy._utils._conversions
import time:      1404 |       2932 |                         numpy._utils
import time:      1363 |       4295 |                       numpy._globals
import time:       230 |        230 |                         numpy._distributor_init_local
import time:      1553 |       1783 |                       numpy._distributor_init
import time:      2079 |       2079 |                                 numpy.exceptions
import time:      1723 |       1723 |                                 numpy._core._exceptions
import time:      1445 |       1445 |                                 numpy._core.printoptions
import time:      1442 |       1442 |                                 numpy.dtypes
import time:    799354 |     806042 |                               numpy._core._multiarray_umath
import time:      1310 |       1310 |                                 numpy._utils._inspect
import time:      1576 |       2885 |                               numpy._core.overrides
import time:      3108 |     812034 |                             numpy._core.multiarray
import time:      1468 |       1468 |                             numpy._core.umath
import time:      1300 |       1300 |                               numpy._core._string_helpers
import time:      1310 |       1310 |                               numpy._core._type_aliases
import time:      1466 |       4075 |                             numpy._core.numerictypes
import time:      1355 |       1355 |                                         _compat_pickle
import time:       162 |        162 |                                         _pickle
import time:      2019 |       3536 |                                       pickle
import time:      1445 |       4980 |                                     numpy._core._methods
import time:      1880 |       6860 |                                   numpy._core.fromnumeric
import time:      2150 |       9010 |                                 numpy._core.shape_base
import time:      1128 |       1128 |                                 numpy._core._ufunc_config
import time:      1407 |       1407 |                                 numpy._core._asarray
import time:      2065 |       2065 |                                 numpy._core.arrayprint
import time:      1888 |      15496 |                               numpy._core.numeric
import time:      1782 |      17277 |                             numpy._core.einsumfunc
import time:      1295 |       1295 |                             numpy._core.function_base
import time:      1428 |       1428 |                             numpy._core.getlimits
import time:      1144 |       1144 |                             numpy._core.memmap
import time:      1277 |       1277 |                             numpy._core.records
import time:      6853 |       6853 |                             numpy._core._add_newdocs
import time:      1831 |       1831 |                             numpy._core._add_newdocs_scalars
import time:      1352 |       1352 |                             numpy._core._dtype
import time:       960 |        960 |                             numpy._core._dtype_ctypes
import time:      3963 |       3963 |                             numpy._core._internal
import time:      1383 |       1383 |                             numpy._pytesttester
import time:      2407 |     858742 |                           numpy._core
import time:        50 |     858791 |                         numpy._core._multiarray_umath
import time:      1683 |     860474 |                       numpy.__config__
import time:      1219 |       1219 |                                         numpy._typing._nbit_base
import time:      1105 |       1105 |                                         numpy._typing._nested_sequence
import time:       968 |        968 |                                         numpy._typing._shape
import time:      1714 |       5004 |                                       numpy._typing._array_like
import time:      6455 |       6455 |                                       numpy._typing._char_codes
import time:      1809 |       1809 |                                       numpy._typing._dtype_like
import time:       991 |        991 |                                       numpy._typing._nbit
import time:       979 |        979 |                                       numpy._typing._scalars
import time:       795 |        795 |                                       numpy._typing._ufunc
import time:      1841 |      17872 |                                     numpy._typing
import time:       900 |        900 |                                         numpy.lib._array_utils_impl
import time:      1221 |       2120 |                                       numpy.lib._stride_tricks_impl
import time:      1541 |       3661 |                                     numpy.lib._twodim_base_impl
import time:       836 |        836 |                                     numpy.lib.array_utils
import time:     17580 |      17580 |                                     numpy.linalg._umath_linalg
import time:      3432 |      43379 |                                   numpy.linalg._linalg
import time:      1742 |      45121 |                                 numpy.linalg
import time:      1544 |      46664 |                               numpy.matrixlib.defmatrix
import time:      1640 |      48303 |                             numpy.matrixlib
import time:      1548 |       1548 |                               numpy.lib._histograms_impl
import time:      2564 |       4111 |                             numpy.lib._function_base_impl
import time:      1647 |      54061 |                           numpy.lib._index_tricks_impl
import time:      3259 |      57320 |                         numpy.lib._arraypad_impl
import time:      1930 |       1930 |                         numpy.lib._arraysetops_impl
import time:       878 |        878 |                         numpy.lib._arrayterator_impl
import time:      1489 |       1489 |                         numpy.lib._nanfunctions_impl
import time:      1518 |       1518 |                               numpy.lib._utils_impl
import time:      1116 |       2634 |                             numpy.lib._format_impl
import time:       934 |       3567 |                           numpy.lib.format
import time:       945 |        945 |                           numpy.lib._datasource
import time:      1127 |       1127 |                           numpy.lib._iotools
import time:      1543 |       7182 |                         numpy.lib._npyio_impl
import time:      1038 |       1038 |                             numpy.lib._ufunclike_impl
import time:      1197 |       2235 |                           numpy.lib._type_check_impl
import time:      1915 |       4149 |                         numpy.lib._polynomial_impl
import time:      1036 |       1036 |                         numpy.lib._shape_base_impl
import time:       759 |        759 |                         numpy.lib._version
